frame,time(s),L hip,R hip,L knee,R knee,L ankle,R ankle,L crutch,R crutch,M_L crutch,M_R crutch,thigh c_x,thigh c_y,shank c_x,shank c_y
180,0.75,8.207,-17.969,4.983,25.251,23.837,7.625,,57.167,,,920.9999943,606.5000135,943.4999943,844.50001
181,0.754166667,8.213,-18.435,5.036,25.323,24.058,7.582,,57.284,,,920.9999943,607.0000148,943.4999943,844.50001
182,0.758333333,8.222,-18.435,4.833,25.089,24.19,5.776,,57.365,,,920.9999943,607.0000148,944.0000153,844.50001
183,0.7625,8.222,-18.435,4.882,25.31,24.48,6.046,,57.128,,,921.4999866,607.0000148,944.5000076,844.50001
184,0.766666667,8.731,-17.969,4.616,25.046,24.457,6.403,,57.135,,,922.0000076,607.5,944.5000076,844.9999952
185,0.770833333,8.737,-17.969,4.617,25.046,24.424,6.489,,57.156,,,922.0000076,607.5,944.5000076,844.9999952
186,0.775,8.574,-17.969,4.532,25.046,24.466,6.516,,57.145,,,922.0000076,607.5,944.5000076,844.9999952
187,0.779166667,8.508,-17.969,4.55,25.502,24.433,6.876,,57.138,,,922.5,607.5,945,844.9999952
188,0.783333333,8.463,-17.969,4.588,25.502,24.362,7.463,,57.132,,,922.5,607.5,945,844.9999952
189,0.7875,8.341,-17.969,4.79,25.281,24.428,7.685,,56.857,,,922.9999924,607.5,945,844.9999952
190,0.791666667,8.574,-17.969,4.649,25.281,24.353,8.095,,56.88,,,922.9999924,607.5,945,844.9999952
191,0.795833333,8.485,-17.969,4.611,25.281,24.044,8.322,,56.631,,,922.9999924,607.5,945,844.9999952
192,0.8,8.409,-18.591,4.622,25.809,24.211,9.01,,56.695,,,923.4999847,608.0000013,945.4999924,844.9999952
193,0.804166667,8.779,-18.591,4.562,25.809,24.103,9.31,,56.831,,,923.4999847,608.0000013,945.4999924,844.9999952
194,0.808333333,8.582,-18.122,4.454,25.588,24.292,9.028,,56.902,,,923.9999771,608.0000013,945.4999924,844.9999952
195,0.8125,8.889,-18.122,4.352,25.588,24.284,8.748,,56.877,,,923.9999771,608.0000013,945.4999924,844.9999952
196,0.816666667,9.022,-18.591,4.221,26.043,24.337,8.924,,56.878,,,924.4999695,608.0000013,945.9999847,844.9999952
197,0.820833333,9.094,-18.591,3.99,25.971,24.265,8.892,,56.885,,,924.4999695,608.4999865,945.9999847,845.4999804
198,0.825,9.012,-18.591,3.944,25.971,24.211,9.022,,56.961,,,924.4999695,608.4999865,945.9999847,845.4999804
199,0.829166667,9.678,-18.122,3.829,25.751,24.164,9.455,,56.742,,,924.9999905,608.4999865,945.9999847,845.4999804
200,0.833333333,9.593,-18.122,4.049,25.718,24.27,10.354,,56.747,,,924.9999905,608.4999865,945.9999847,845.9999979
201,0.8375,9.682,-18.122,3.826,25.485,24.138,9.495,,56.463,,,924.9999905,608.4999865,946.4999771,845.9999979
202,0.841666667,9.389,-18.591,3.672,26.245,24.186,10.051,,56.536,,,925.5000401,608.9999878,947.0000267,845.9999979
203,0.845833333,9.864,-18.591,3.658,26.023,24.199,11.858,,56.649,,,926.0000324,608.9999878,947.0000267,845.9999979
204,0.85,9.916,-18.591,3.696,26.023,24.172,12.177,,56.381,,,926.0000324,608.9999878,947.0000267,845.9999979
205,0.854166667,9.413,-18.591,4.022,26.023,23.944,12.376,,56.309,,,926.0000324,608.9999878,947.0000267,845.9999979
206,0.858333333,9.292,-18.591,3.958,26.023,23.914,13.621,,56.276,,,926.0000324,608.9999878,947.0000267,845.9999979
207,0.8625,9.226,-18.122,4.031,25.802,23.728,13.65,,56.819,,,926.5000248,608.9999878,947.0000267,845.9999979
208,0.866666667,9.214,-18.122,4.289,26.219,23.804,14.101,,56.545,,,927.0000172,609.5000052,947.5000191,846.5000153
209,0.870833333,9.212,-18.122,4.815,26.219,23.608,14.148,,56.5,,,927.0000172,609.5000052,947.5000191,846.5000153
210,0.875,9.329,-18.122,4.891,26.219,22.86,14.169,,56.24,,,927.0000172,609.5000052,947.5000191,846.5000153
211,0.879166667,9.246,-18.122,5.112,25.998,22.532,14.921,,56.011,,,927.5000095,609.5000052,947.5000191,846.5000153
212,0.883333333,9.241,-18.122,5.123,25.998,22.372,16.167,,56.119,,,927.5000095,609.5000052,947.5000191,846.5000153
213,0.8875,9.268,-18.122,5.359,25.998,22.42,17.452,,56.108,,,927.5000095,609.5000052,947.5000191,847.0000005
214,0.891666667,9.214,-18.122,5.591,25.998,22.37,18.125,,56.192,,,927.5000095,609.5000052,947.5000191,847.0000005
